Cabeçalho da Nota,,,,,,,,,,,,,,
Emissão:16/04/2026 08:37:29,Total de registros:207,Usuário: 1004 - PEDRO.NUNES,,,,,,,,,,,,
Liberação,Nome Parceiro (Parceiro),Pendente,Nro. Único,Nro. Nota,Nome Fantasia (Empresa),Vlr. Nota,Dt. Neg.,Previsão de entrega,Observação,Observação,NF-e,Tipo Operação,Dt. do Faturamento,Descrição (Tipo de Operação)
Aprovado,"SHANDONG XINST LASER EQUIPAMENT CO., LTD",Sim,23819361,2709,J.M EMBALAGENS E BRINDES LTDA,"2.066,00",10/04/2026,22/06/2026 00:00,MAQUINA DE CORTE LASER 60W + FIBER 30w,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5104,10/04/2026 00:00,PEDIDO COMPRA  IMOBILIZADO J.M
Aprovado,L. F. DE SOUZA LTDA,Sim,23809480,2682,J.M EMBALAGENS E BRINDES LTDA,"5.950,00",09/04/2026,09/04/2026 00:00,"FRETE DA CALANDRA 2231
BOLETO: 00190.00009 02750.850006 00021.431176 1 14110000595000

vencimento 09/04",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,09/04/2026 00:00,PEDIDO COMPRA SERVICO
Reprovado,"HANGZHOU INSIGHT TRADING CO., LTD",Sim,23810293,0,J.M EMBALAGENS E BRINDES LTDA,"3.200,00",09/04/2026,08/07/2026 00:00,,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2004,,PEDIDO COMPRA IMOBILIZADO
Aprovado,BRETAS BROKER,Não,23781602,2664,J.M EMBALAGENS E BRINDES LTDA,"1.753,51",07/04/2026,07/04/2026 00:00,HONORARIO NFe 114 REF OC2035,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,07/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23781580,2663,J.M EMBALAGENS E BRINDES LTDA,"673,53",07/04/2026,07/04/2026 00:00,"SEGURO INTERNACIONAL PROCESSO
OC 2035 NILS",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,07/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,FEDERAL EXPRESS CORPORATION,Sim,23781908,2696,J.M EMBALAGENS E BRINDES LTDA,"150,08",07/04/2026,14/04/2026 00:00,"FRETE I REMESSA EXPRESSA 
RASTREIO 870077777157
Fatura: 5-470-25103
OC 2115 I MANTAS DE IMA",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,07/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23781686,2665,J.M EMBALAGENS E BRINDES LTDA,"27,00",07/04/2026,07/04/2026 00:00,CURRIER DESPESA ADUANEIRA OC 2035,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,07/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,"HANGZHOU INSIGHT TRADING CO., LTD",Sim,23762827,37578,ZAP GRAFICA ONLINE LTDA,"3.200,00",06/04/2026,10/07/2026 00:00,,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2004,09/04/2026 15:40,PEDIDO COMPRA IMOBILIZADO
Aprovado,FEDERAL EXPRESS CORPORATION,Sim,23758120,2695,J.M EMBALAGENS E BRINDES LTDA,"903,11",06/04/2026,14/04/2026 00:00,"FRETE I REMESSA EXPRESSA 
Nro de Rastreio 870040661240
Fatura: 5-470-25103
OC 2538 I AGULHAS E PLACAS",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,07/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,FEDERAL EXPRESS CORPORATION,Sim,23749095,2694,J.M EMBALAGENS E BRINDES LTDA,"1.036,11",02/04/2026,14/04/2026 00:00,"SERVIÇOS E TAXAS DE IMPORTAÇÃO POR CURRIER 
Nro de Rastreio 870040661240
Fatura: 5-470-25103
OC 2538 I AGULHAS E PLACAS",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,02/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,GOLD EAST TRADING (HONG KONG) COMPANY LIMITED,Sim,23725702,70,ZAP GRAFICA ONLINE LTDA,"104.471,80",01/04/2026,15/07/2026 00:00,"ZAP070
JZBR2600112",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2005,01/04/2026 00:00,PEDIDO COMPRA MP IMPORTADA
Aprovado,BANDEIRANTES DEICMAR LOGISTICA INTEGRADA,Sim,23722541,2625,J.M EMBALAGENS E BRINDES LTDA,"2.892,70",01/04/2026,01/04/2026 00:00,TAXA DTA HUB SANTOS OC 1849 I JM 13 I ZHONGSHAN,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Sim,23723720,2620,J.M EMBALAGENS E BRINDES LTDA,"2.584,00",01/04/2026,01/04/2026 00:00,"FRETE REFERENTE CT-E 126788 I NF 26272831-2 
 OC 2035 BETIM X JM",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Sim,23723593,2622,J.M EMBALAGENS E BRINDES LTDA,"2.583,00",01/04/2026,01/04/2026 00:00,FRETE REFERENTE CTE 26786 26/272831-2  OC 2035 BETIM X JM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Sim,23723690,2621,J.M EMBALAGENS E BRINDES LTDA,"2.583,00",01/04/2026,01/04/2026 00:00,FRETE REFERENTE CTE 1/26787 NF 26/272831-2  OC 2035 BETIM X JM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Sim,23722956,2623,J.M EMBALAGENS E BRINDES LTDA,"1.621,00",01/04/2026,01/04/2026 00:00,HONORARIO NFe 114 REF OC1849,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Sim,23722877,2624,J.M EMBALAGENS E BRINDES LTDA,"789,92",01/04/2026,01/04/2026 00:00,"SEGURO INTERNACIONAL PROCESSO
OC 1849 TINTAS HP",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,DHL EXPRESS BRAZIL LTDA,Sim,23708206,2614,J.M EMBALAGENS E BRINDES LTDA,"499,19",31/03/2026,31/03/2026 00:00,BOLETO PARA LIBERAÇÃO ALFENDEGARIA  AWB No: 1190283382,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,31/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23684778,2601,J.M EMBALAGENS E BRINDES LTDA,"1.621,00",30/03/2026,30/03/2026 00:00,HONORARIO NF 113 REF OC1450,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,30/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23684842,2602,J.M EMBALAGENS E BRINDES LTDA,"374,42",30/03/2026,30/03/2026 00:00,SEGURO INTERNACIONAL REF OC1450,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,30/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TORA RECINTOS ALFANDEGADOS S/A,Não,23657182,2597,J.M EMBALAGENS E BRINDES LTDA,"7.347,07",26/03/2026,26/03/2026 00:00,ARMAZENAGEM IMPORTAÇÃO DESPESA ADUANEIRA OC 2035,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,26/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,E G A ASSESSORIA EM COMERCIO EXTERIOR LTDA,Não,23643105,2593,J.M EMBALAGENS E BRINDES LTDA,"2.857,96",25/03/2026,25/03/2026 00:00,ARMAZENAGEM OC 2035 | NILS TROEDSSON x JM EMB,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,25/03/2026 00:00,PEDIDO COMPRA SERVICO
